epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,547.041,0.7064,0.76302,1.03206,0.6584,0.63426,0.68251,0.38392,1.51034,1.52834,1.63674,0.0004159,0.0004159,0.0004159
61,556.064,0.79603,0.8352,1.13464,0.86652,0.618,0.70648,0.4021,1.51832,1.53816,1.63475,0.000406,0.000406,0.000406
62,565.018,0.75491,0.7256,1.05455,0.78145,0.55556,0.70772,0.39701,1.54365,1.52411,1.61246,0.0003961,0.0003961,0.0003961
63,573.929,0.74503,0.73822,1.07906,0.78145,0.55556,0.70772,0.39701,1.54365,1.52411,1.61246,0.0003862,0.0003862,0.0003862
64,582.895,0.64786,0.72882,1.02496,0.5908,0.63559,0.66936,0.39181,1.52787,1.57891,1.58935,0.0003763,0.0003763,0.0003763
65,591.817,0.74515,0.76093,1.05034,0.4974,0.73039,0.64609,0.37978,1.55894,1.62216,1.59993,0.0003664,0.0003664,0.0003664
66,600.817,0.81546,0.85444,1.17945,0.8173,0.47206,0.64634,0.38385,1.56201,1.63948,1.62973,0.0003565,0.0003565,0.0003565
67,610.094,0.64755,0.78022,1.02369,0.72034,0.54131,0.64653,0.38646,1.55948,1.66656,1.63117,0.0003466,0.0003466,0.0003466
68,619.06,0.65674,0.69269,1.03026,0.65596,0.54195,0.62238,0.37685,1.51196,1.73732,1.62199,0.0003367,0.0003367,0.0003367
69,627.909,0.75879,0.76727,1.11001,0.65596,0.54195,0.62238,0.37685,1.51196,1.73732,1.62199,0.0003268,0.0003268,0.0003268
70,636.835,0.70014,0.70096,1.06449,0.74188,0.50204,0.63081,0.3798,1.4707,1.76479,1.60758,0.0003169,0.0003169,0.0003169
71,645.781,0.72192,0.80646,1.08084,0.66797,0.53174,0.66143,0.40373,1.45064,1.75617,1.59047,0.000307,0.000307,0.000307
72,654.708,0.72668,0.71097,1.06055,0.6837,0.5463,0.66714,0.3969,1.4371,1.71357,1.56597,0.0002971,0.0002971,0.0002971
73,663.696,0.82069,0.74578,1.11768,0.79813,0.51163,0.68823,0.39182,1.45475,1.66739,1.57171,0.0002872,0.0002872,0.0002872
74,672.721,0.69523,0.70358,1.02824,0.78097,0.53374,0.67287,0.37344,1.47584,1.60615,1.60198,0.0002773,0.0002773,0.0002773
75,681.68,0.66225,0.69368,1.04434,0.78097,0.53374,0.67287,0.37344,1.47584,1.60615,1.60198,0.0002674,0.0002674,0.0002674
76,690.751,0.68708,0.72745,1.03759,0.70256,0.58796,0.6806,0.38023,1.47384,1.58701,1.61698,0.0002575,0.0002575,0.0002575
77,699.752,0.68605,0.70422,1.04515,0.82923,0.53373,0.69282,0.39716,1.4772,1.58123,1.61731,0.0002476,0.0002476,0.0002476
78,708.796,0.63974,0.69723,0.98758,0.83539,0.53112,0.67431,0.39564,1.47491,1.5768,1.6127,0.0002377,0.0002377,0.0002377
79,717.745,0.62267,0.69648,1.00898,0.80569,0.5188,0.67239,0.39973,1.47226,1.54893,1.60846,0.0002278,0.0002278,0.0002278
80,726.785,0.68531,0.73091,1.05345,0.78244,0.51123,0.68818,0.40157,1.47286,1.53532,1.60673,0.0002179,0.0002179,0.0002179
81,735.7,0.60217,0.64675,0.98762,0.78244,0.51123,0.68818,0.40157,1.47286,1.53532,1.60673,0.000208,0.000208,0.000208
82,744.74,0.74463,0.66052,1.13518,0.61174,0.58312,0.68194,0.39913,1.45875,1.52821,1.56533,0.0001981,0.0001981,0.0001981
83,753.761,0.71008,0.80581,1.0578,0.7086,0.53914,0.6992,0.41248,1.4403,1.51021,1.54432,0.0001882,0.0001882,0.0001882
84,762.792,0.65694,0.65518,1.0782,0.8523,0.54552,0.713,0.41866,1.42722,1.46092,1.5007,0.0001783,0.0001783,0.0001783
85,771.841,0.65355,0.59862,0.98824,0.85818,0.54575,0.71858,0.42036,1.41816,1.42975,1.4869,0.0001684,0.0001684,0.0001684
86,780.883,0.68933,0.87596,1.07322,0.85815,0.55891,0.74765,0.44119,1.41708,1.38702,1.48326,0.0001585,0.0001585,0.0001585
87,789.833,0.71448,0.69601,1.0221,0.85815,0.55891,0.74765,0.44119,1.41708,1.38702,1.48326,0.0001486,0.0001486,0.0001486
88,798.822,0.71834,0.74563,1.06232,0.85716,0.56164,0.75092,0.44255,1.41306,1.36378,1.47871,0.0001387,0.0001387,0.0001387
89,807.886,0.61036,0.67161,1.00384,0.86559,0.5582,0.7487,0.44127,1.42629,1.32945,1.50663,0.0001288,0.0001288,0.0001288
90,816.853,0.71275,0.63314,1.03335,0.86121,0.55793,0.75367,0.44186,1.4319,1.3139,1.52243,0.0001189,0.0001189,0.0001189
91,825.706,0.56383,0.70964,0.97487,0.89306,0.54556,0.75611,0.45205,1.42073,1.29746,1.51768,0.000109,0.000109,0.000109
92,834.59,0.60833,0.88057,0.99694,0.88587,0.55154,0.75229,0.45451,1.40901,1.30152,1.52516,9.91e-05,9.91e-05,9.91e-05
93,843.385,0.55937,0.72587,0.94364,0.88587,0.55154,0.75229,0.45451,1.40901,1.30152,1.52516,8.92e-05,8.92e-05,8.92e-05
94,852.255,0.64112,0.80275,1.03446,0.85896,0.55257,0.73455,0.43959,1.39994,1.3031,1.52313,7.93e-05,7.93e-05,7.93e-05
95,861.173,0.60406,0.81545,1.1316,0.80477,0.54974,0.71442,0.43013,1.39907,1.32653,1.52735,6.94e-05,6.94e-05,6.94e-05
96,870.146,0.4738,0.59076,0.93296,0.81532,0.53502,0.71793,0.43203,1.39687,1.32642,1.51391,5.95e-05,5.95e-05,5.95e-05
97,879.077,0.59412,0.68279,1.02956,0.78973,0.52719,0.68904,0.42133,1.39295,1.36598,1.50593,4.96e-05,4.96e-05,4.96e-05
98,887.945,0.51637,0.69252,0.89166,0.72155,0.53005,0.67732,0.42632,1.38957,1.3945,1.49064,3.97e-05,3.97e-05,3.97e-05
99,896.862,0.54259,0.70451,0.9867,0.72155,0.53005,0.67732,0.42632,1.38957,1.3945,1.49064,2.98e-05,2.98e-05,2.98e-05
100,905.709,0.56611,0.70796,1.00781,0.49412,0.75926,0.67725,0.42857,1.39051,1.4218,1.48242,1.99e-05,1.99e-05,1.99e-05
